,M0061675,M0000545,S0059749,M1001654,M0061676,M0000612,M0061677,M0001227,M5206730
2009-01-23,,,,3.1633,,,,,
2009-01-24,,,3.0368,3.1633,,,,,
2009-01-31,5.57,-2.93,3.0368,3.1633,0.53,1.0,-2.28,-3.35,13990.0
2009-02-27,5.57,-2.93,3.1508,3.2734,0.53,1.0,-2.28,-3.35,13990.0
2009-02-28,5.73,11.0,3.1508,3.2734,-1.45,-1.6,-4.1,-4.47,11131.0
2009-03-31,5.71,8.3,3.1612,3.2805,-1.23,-1.2,-5.87,-6.0,22011.0
2009-04-30,7.17,7.3,3.1072,3.3243,-1.39,-1.5,-6.81,-6.6,5452.0
2009-05-27,7.17,7.3,3.1072,3.2669,-1.39,-1.5,-6.81,-6.6,5452.0
2009-05-31,7.55,8.9,3.0409,3.2669,-1.21,-1.4,-6.65,-7.2,14959.0
2009-06-30,9.34,10.7,3.2403,3.3725,-1.38,-1.7,-7.5,-7.8,21067.0
2009-07-31,11.69,10.8,3.503,3.5816,-1.75,-1.8,-8.29,-8.2,7388.0
2009-08-31,11.88,12.3,3.4805,3.5775,-1.28,-1.2,-7.87,-7.86,7650.0
2009-09-30,13.15,13.9,3.5132,3.6359,-0.8,-0.8,-6.98,-6.99,11871.0
2009-10-30,13.15,13.9,3.6886,3.7257,-0.8,-0.8,-6.98,-6.99,11871.0
2009-10-31,15.42,16.1,3.6886,3.7257,-0.42,-0.5,-5.3,-5.85,5985.0
2009-11-30,18.25,19.2,3.5569,3.6847,0.46,0.6,-2.4,-2.08,9501.0
2009-12-31,20.39,18.5,3.6422,3.7266,1.75,1.9,0.87,1.7,8100.0
2010-01-29,20.39,18.5,3.58,3.6767,1.75,1.9,0.87,1.7,8100.0
2010-01-31,17.83,29.2,3.58,3.6767,1.89,1.5,3.87,4.32,20550.0
2010-02-26,17.83,29.2,3.3753,3.5252,1.89,1.5,3.87,4.32,20550.0
2010-02-28,18.57,12.8,3.3753,3.5252,2.28,2.7,5.18,5.39,10877.0
2010-03-31,18.35,18.1,3.4818,3.4976,2.56,2.4,6.24,5.91,13830.0
2010-04-30,18.37,17.8,3.3565,3.4357,2.68,2.8,6.62,6.81,14919.0
2010-05-31,17.2,16.5,3.243,3.355,3.02,3.1,6.65,7.13,10805.0
2010-06-30,15.29,13.7,3.279,3.3675,3.32,2.9,6.6,6.41,10196.0
2010-07-30,15.29,13.7,3.2996,3.3194,3.32,2.9,6.6,6.41,10196.0
2010-07-31,13.33,13.4,3.2996,3.3194,3.37,3.3,5.7,4.84,7202.0
2010-08-31,13.08,13.9,3.2301,3.292,5.4,3.5,4.53,4.32,10646.0
2010-09-30,13.55,13.3,3.3183,3.3778,3.61,3.6,4.25,4.33,11224.0
2010-10-29,13.55,13.3,3.6821,3.6721,3.61,3.6,4.25,4.33,11224.0
2010-10-31,13.18,13.1,3.6821,3.6721,3.93,4.4,4.73,5.04,8608.0
2010-11-30,13.0,13.3,3.971,3.9841,4.65,5.1,5.21,6.06,10554.0
2010-12-31,13.31,13.5,3.8799,3.8962,4.41,4.6,5.7,5.93,10780.0
2011-01-31,13.31,13.3,4.0187,4.0144,5.34,4.9,6.26,6.6,17560.0
